sra	size_MB	MIC_description
SRR21974971	228	D59 evolved tet, MIC at 2.5ug/mL Caspofungin 
SRR21974968	274	D59 evolved tet, MIC at 2.5ug/mL Caspofungin 
SRR21974967	232	D59 evolved tet, MIC at 2.5ug/mL Caspofungin 
SRR21974970	280	D59 evolved dip, MIC at 2.5ug/mL Caspofungin 
SRR21974969	272	D59 evolved dip, MIC at 2.5ug/mL Caspofungin 
SRR21974974	272	D59 evolved tet, MIC at 2.5ug/mL Caspofungin 
SRR21974973	230	D59 evolved tet, MIC at 2.5ug/mL Caspofungin 
SRR21974972	208	D59 evolved tet, MIC at 2.5ug/mL Caspofungin 
SRR21974976	286	D59 evolved dip, MIC at 2.5ug/mL Caspofungin 
SRR21974975	223	D59 evolved dip, MIC at 2.5ug/mL Caspofungin 
SRR21974981	315	D59 evolved tet, MIC at 2.5ug/mL Caspofungin 
SRR21974980	288	D59 evolved tet, MIC at 2.5ug/mL Caspofungin 
SRR21974979	189	D59 evolved tet, MIC at 2.5ug/mL Caspofungin 
SRR21974978	207	D59 evolved dip, MIC at 2.5ug/mL Caspofungin 
SRR21974977	228	D59 evolved dip, MIC at 2.5ug/mL Caspofungin 
SRR21974984	228	D59 evolved tet, MIC at 2.5ug/mL Caspofungin 
SRR21974983	238	D59 evolved tet, MIC at 2.5ug/mL Caspofungin 
SRR21974982	224	D59 evolved tet, MIC at 2.5ug/mL Caspofungin 
